route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M1,weekend,WE_T016,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T017,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T018,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T019,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T020,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T021,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T022,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T023,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T024,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T025,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T026,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T027,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T028,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T029,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T030,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T031,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T032,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T033,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T034,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T035,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T036,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T037,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T038,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T039,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T040,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T041,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T042,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T043,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T044,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T045,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T046,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T047,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T048,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T049,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T050,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T051,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T052,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T053,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T054,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T055,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T056,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T057,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T058,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T059,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T060,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T061,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T062,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T063,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T064,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T065,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T066,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T067,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T068,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T069,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T070,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T071,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T072,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T073,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T074,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T075,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T076,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T077,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T078,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T079,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T080,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T081,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T082,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T083,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T084,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T085,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T086,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T087,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T088,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T089,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T090,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T091,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T092,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T093,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T094,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T095,Lebak Bulus BSI,0,shape_M1_0
